"Код дилера";"Сервисный код дилера";"";"";"Код SAP площадки";"Контрагент";"";"";"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";"";"";"";"";"";"Стоимость запчастей";"";"";"";"";"";"Стоимость запчастей PL-2";"";"";"Итого - ремонт";"";"";"";"";"";"Итого - PL-2 ремонт";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"HCR PE";"2020-";"1.4";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10587";"11982,37";"10587";"15282,37";"10587";"11982,37";"14282,37";"9587";"10982,37";"14367";"17112,37";"14367";"21762,37";"14367";"17112,37";"20762,37";"13367";"16112,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"HCR PE";"2020-";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10887";"16142,37";"10887";"19442,37";"10887";"16142,37";"18442,37";"9887";"15142,37";"14667";"21272,37";"14667";"25922,37";"14667";"21272,37";"24922,37";"13667";"20272,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"HCR";"2017-2019";"1.4";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10587";"11982,37";"10587";"15282,37";"10587";"11982,37";"14282,37";"9587";"10982,37";"14367";"17112,37";"14367";"21762,37";"14367";"17112,37";"20762,37";"13367";"16112,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"HCR";"2017-2019";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10887";"16142,37";"10887";"19442,37";"10887";"16142,37";"18442,37";"9887";"15142,37";"14667";"21272,37";"14667";"25922,37";"14667";"21272,37";"24922,37";"13667";"20272,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"RBR";"2011-2016";"1.4";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10099,64";"15355,01";"10099,64";"17655,01";"10099,64";"15355,01";"16655,01";"9099,64";"14355,01";"13879,64";"20485,01";"13879,64";"24135,01";"13879,64";"20485,01";"23135,01";"12879,64";"19485,01"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Solaris";"RBR";"2011-2016";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"10099,64";"15355,01";"10099,64";"17655,01";"10099,64";"15355,01";"16655,01";"9099,64";"14355,01";"13879,64";"20485,01";"13879,64";"24135,01";"13879,64";"20485,01";"23135,01";"12879,64";"19485,01"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i30";"Gde";"2012-2017";"1.4";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11562,64";"16818,02";"11562,64";"18713,4";"11562,64";"16818,02";"17713,4";"10562,64";"15818,02";"15342,64";"21948,02";"15342,64";"25193,4";"15342,64";"21948,02";"24193,4";"14342,64";"20948,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i30";"Gde";"2012-2017";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11562,64";"16818,02";"11562,64";"18713,4";"11562,64";"16818,02";"17713,4";"10562,64";"15818,02";"15342,64";"21948,02";"15342,64";"25193,4";"15342,64";"21948,02";"24193,4";"14342,64";"20948,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i30";"PDe";"2017-";"1.4";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11562,64";"16818,02";"11562,64";"18713,4";"11562,64";"16818,02";"17713,4";"10562,64";"15818,02";"15342,64";"21948,02";"15342,64";"25193,4";"15342,64";"21948,02";"24193,4";"14342,64";"20948,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i30";"PDe";"2017-";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11562,64";"16818,02";"11562,64";"18713,4";"11562,64";"16818,02";"17713,4";"10562,64";"15818,02";"15342,64";"21948,02";"15342,64";"25193,4";"15342,64";"21948,02";"24193,4";"14342,64";"20948,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"i30n";"PDeN";"2018-";"2.0";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"14654";"16049,37";"14654";"18879,37";"14654";"16049,37";"17879,37";"13654";"15049,37";"18434";"21179,37";"18434";"25359,37";"18434";"21179,37";"24359,37";"17434";"20179,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"MD";"2011-2016";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11562,64";"16818,02";"11562,64";"18998,75";"11562,64";"16818,02";"17998,75";"10562,64";"15818,02";"15342,64";"21948,02";"15342,64";"25478,75";"15342,64";"21948,02";"24478,75";"14342,64";"20948,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"MD";"2011-2016";"1.8";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"12162,64";"17418,02";"12162,64";"19598,75";"12162,64";"17418,02";"18598,75";"11162,64";"16418,02";"15942,64";"22548,02";"15942,64";"26078,75";"15942,64";"22548,02";"25078,75";"14942,64";"21548,02"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Elantra";"AD";"2016-2020";"1.6";"Бензиновый";"3780";"5130";"3780";"6480";"3780";"5130";"11845";"17100,37";"11845";"21300,37";"11845";"17100,37";"20300,37";"10845";"16100,37";"15625";"22230,37";"15625";"27780,37";"15625";"22230,37";"26780,37";"14625";"21230,37"
