ver. 11,,,,,Стоимость работ,,,,,,Стоимость ЗЧ,,,,,,Стоимость ЗЧ PL-2,,
Модель,Код модели,Год производства,Рабочий объем,Тип двигателя,1 год 15000 км,2 года 30000 км,3 года 45000 км,4 года 60000 км,5 лет 75000 км,6 лет 90000 км,1 год 15000 км,2 года 30000 км,3 года 45000 км,4 года 60000 км,5 лет 75000 км,6 лет 90000 км,4 года 60000 км,5 лет 75000 км,6 лет 90000 км
Solaris,HCR PE,2020 –,1.4,Бензиновый,3240,4140,3240,5040,3240,4140,5508,6408,5508,12699,4950,5850,12105,4482,5283
Solaris,HCR PE,2020 –,1.6,Бензиновый,3240,4140,3240,5040,3240,4140,5535,8145,5535,10602,5103,7713,9792,4608,7407
Solaris,HCR,2017 – 2019,1.4,Бензиновый,3240,4140,3240,5040,3240,4140,5508,6408,5508,12699,4950,5850,11862,4608,5553
Solaris,HCR,2017 – 2019,1.6,Бензиновый,3240,4140,3240,5040,3240,4140,5535,8145,5535,10602,5103,7713,9792,4608,7299
Solaris,RBR,2011 – 2016,1.4,Бензиновый,3240,4140,3240,5040,3240,4140,5256,7866,5256,8784,4824,7434,7434,4482,7092
Solaris,RBR,2011 – 2016,1.6,Бензиновый,3240,4140,3240,5040,3240,4140,5256,7866,5256,8784,4824,7434,8316,4464,7074
i30,Gde,2012 – 2017,1.4,Бензиновый,3240,4140,3240,5040,3240,4140,7506,8406,7506,11448,7506,8406,10656,7038,7938
i30,Gde,2012 – 2017,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,7173,9783,7173,11745,7173,9783,11304,6705,9288
i30,PDe,2017 –,1.4,Бензиновый,3240,4140,3240,4860,3240,4140,7506,8406,7506,11448,7506,8406,10656,7038,7938
i30,PDe,2017 –,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,7173,9783,7173,11745,7173,9783,11304,6705,9288
i30n,PDeN,2018 –,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,7884,10755,7884,12915,7884,10755,12429,7371,10215
Elantra,MD,2011 – 2016,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,6498,9108,6498,11943,6021,8631,11556,5508,8154
Elantra,MD,2011 – 2016,1.8,Бензиновый,3240,4140,3240,4860,3240,4140,6498,7398,6498,10854,6021,6921,10476,5508,6426
Elantra,AD,2016 – 2020,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,6498,9108,6498,12564,6021,8631,11556,5508,8154
Elantra,AD,2016 – 2020,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,6498,7398,6498,10854,6021,6921,10476,5508,6426
Elantra,CN7,2020 –,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,7470,10080,7470,12402,6993,9603,11007,6462,9081
Elantra,CN7,2020 –,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,8478,9378,8478,11655,8073,8973,11133,7569,8469
Sonata,LF,2017 – 2019,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,7587,8487,7587,11421,7110,8010,11052,6732,7632
Sonata,LF,2017 – 2019,2.4 GDi,Бензиновый,3240,4140,3240,4860,3240,4140,8163,9063,8163,11997,7614,8514,11601,7218,8118
Sonata,DN8,2020 –,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,7884,8784,7884,10989,7407,8307,10683,7011,7911
Sonata,DN8,2020 –,2.5,Бензиновый,3240,4140,3240,4860,3240,4140,10584,11484,10584,14166,10584,11484,13554,10026,10926
i40,VF,2011 – 2017,1.6,Бензиновый,3240,4140,3240,4860,3240,4140,7173,8073,7173,11484,6858,7758,11016,6426,7326
i40,VF,2011 – 2017,2.0,Бензиновый,3240,4140,3240,4860,3240,4140,7533,8433,7533,11799,7173,8073,11232,6741,7641
i40,VF,2011 – 2017,1.7,Дизельный,3780,4860,3780,4860,3780,4860,9522,14733,9522,14733,9522,14733,14238,8982,14238
Creta,GSr,2016 – 2021,1.6,Бензиновый,3780,4860,3780,5580,3780,4860,5841,8451,5841,10233,5409,8019,9756,5067,7686
Creta,GSr,2016 – 2021,2.0,Бензиновый,3780,4860,3780,5580,3780,4860,6201,7101,6201,8838,5724,6624,8433,5328,6228
Creta,SU2r,2021 –,1.6,Бензиновый,3780,4860,3780,5580,3780,4860,6039,8649,6039,11223,6039,8649,10728,5562,7983
Creta,SU2r,2021 –,2.0,Бензиновый,3780,4860,3780,5580,3780,4860,7263,8163,7263,10737,7263,8163,10332,6768,7722
ix35,Ele,2010 – 2015,2.0,Бензиновый,3780,4860,3780,5580,3780,4860,6786,7686,6786,12726,6786,7686,12303,6318,7218
ix35,Ele,2010 – 2015,2.0,Дизельный,3780,4860,3780,5040,3780,4860,10188,13653,10188,13653,10188,13653,13176,9756,13176
