"Код дилера";"Сервисный код дилера";;;"Код SAP площадки";"Контрагент";;;"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;;;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"HCR PE";"2020-";"1.4";"Бензиновый";2775;3700;2775;4625;2775;3700;5028;5653;5028;15217;5028;5653;15217;5028;5653;7803;9353;7803;19842;7803;9353;19842;7803;9353
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"HCR PE";"2020-";"1.6";"Бензиновый";2775;3700;2775;4625;2775;3700;5057;8602;5057;11086;5057;8602;11086;5057;8602;7832;12302;7832;15711;7832;12302;15711;7832;12302
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"HCR";"2017-2019";"1.4";"Бензиновый";2775;3700;2775;4625;2775;3700;5028;5653;5028;15217;5028;5653;15217;5028;5653;7803;9353;7803;19842;7803;9353;19842;7803;9353
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"HCR";"2017-2019";"1.6";"Бензиновый";2775;3700;2775;4625;2775;3700;5057;8602;5057;11086;5057;8602;11086;5057;8602;7832;12302;7832;15711;7832;12302;15711;7832;12302
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"RBR";"2011-2016";"1.4";"Бензиновый";2775;3700;2775;4625;2775;3700;4410;7111;4410;8203;4410;7111;8203;4410;7111;7185;10811;7185;12828;7185;10811;12828;7185;10811
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Solaris";"RBR";"2011-2016";"1.6";"Бензиновый";2775;3700;2775;4625;2775;3700;4410;7111;4410;8203;4410;7111;8203;4410;7111;7185;10811;7185;12828;7185;10811;12828;7185;10811
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i30";"Gde";"2012-2017";"1.4";"Бензиновый";2775;3700;2775;4440;2775;3700;5917,1;8013,2;5596,15;9186,55;6029,2;7138,4;7143,4;4179,2;5802,4;8692,1;11713,2;8371,15;13626,55;8804,2;10838,4;11583,4;6954,2;9502,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i30";"Gde";"2012-2017";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;5917,1;8013,2;5596,15;9186,55;6029,2;7138,4;7143,4;4179,2;5802,4;8692,1;11713,2;8371,15;13626,55;8804,2;10838,4;11583,4;6954,2;9502,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i30";"PDe";"2017-";"1.4";"Бензиновый";2775;3700;2775;4440;2775;3700;5917,1;8013,2;5596,15;9186,55;6029,2;7138,4;7143,4;4179,2;5802,4;8692,1;11713,2;8371,15;13626,55;8804,2;10838,4;11583,4;6954,2;9502,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i30";"PDe";"2017-";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;5917,1;8013,2;5596,15;9186,55;6029,2;7138,4;7143,4;4179,2;5802,4;8692,1;11713,2;8371,15;13626,55;8804,2;10838,4;11583,4;6954,2;9502,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i30n";"PDeN";"2018-";"2.0";"Бензиновый";2775;3700;2775;4440;2775;3700;9304;9929;9304;15869;9304;9929;15869;9304;9929;12079;13629;12079;20309;12079;13629;20309;12079;13629
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"MD";"2011-2016";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;6000;8701;6000;9513;6000;8701;9513;6000;8701;8775;12401;8775;13953;8775;12401;13953;8775;12401
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"MD";"2011-2016";"1.8";"Бензиновый";2775;3700;2775;4440;2775;3700;6000;8701;6000;9513;6000;8701;9513;6000;8701;8775;12401;8775;13953;8775;12401;13953;8775;12401
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"AD";"2016-2020";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;6523;8862;6523;12226;6523;8862;12226;6523;8862;9298;12562;9298;16666;9298;12562;16666;9298;12562
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"AD";"2016-2020";"2.0";"Бензиновый";2775;3700;2775;4440;2775;3700;6783;7408;6783;10604;6783;7408;10604;6783;7408;9558;11108;9558;15044;9558;11108;15044;9558;11108
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"CN7";"2020-";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;6789;9490;6789;12086;6789;9490;12086;6789;9490;9564;13190;9564;16526;9564;13190;16526;9564;13190
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Elantra";"CN7";"2020-";"2.0";"Бензиновый";2775;3700;2775;4440;2775;3700;7895;8520;7895;11116;7895;8520;11116;7895;8520;10670;12220;10670;15556;10670;12220;15556;10670;12220
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Sonata";"LF";"2017-2019";"2.0";"Бензиновый";1665;2220;1665;2036,8;1665;2960;5432;5432;7496;10897;5432;7496;10897;5432;7496;7097;7652;9161;12933,8;7097;10456;12933,8;7097;10456
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Sonata";"LF";"2017-2019";"2.4 GDi";"Бензиновый";1665;2220;1665;2036,8;1665;2960;5627;5627;7691;10727;5627;7691;10727;5627;7691;7292;7847;9356;12763,8;7292;10651;12763,8;7292;10651
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Sonata";"DN8";"2020-";"2.0";"Бензиновый";1665;2220;1665;2036,8;1665;2960;5731;5731;7621;11780;5731;7621;11780;5731;7621;7396;7951;9286;13816,8;7396;10581;13816,8;7396;10581
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Sonata";"DN8";"2020-";"2.5";"Бензиновый";1665;2220;1665;2036,8;1665;2960;7619;7619;9509;11159;7619;9509;11159;7619;9509;9284;9839;11174;13195,8;9284;12469;13195,8;9284;12469
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i40";"VF";"2011-2017";"1.6";"Бензиновый";2775;3700;2775;4440;2775;3700;6003;10097,6;5677,75;11321;5352;8992;9043,15;4215,2;7227,2;8778;13797,6;8452,75;15761;8127;12692;13483,15;6990,2;10927,2
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i40";"VF";"2011-2017";"2.0";"Бензиновый";2775;3700;2775;4440;2775;3700;6425;10152;6076;12351;6076;9040;9526,8;4715,2;7682,4;9200;13852;8851;16791;8851;12740;13966,8;7490,2;11382,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"i40";"VF";"2011-2017";"1.7";"Дизельный";2775;3700;2775;3700;2775;3700;7595;10523;7181;9946;6767;9369;7205,45;5755,2;7870,4;10370;14223;9956;13646;9542;13069;10905,45;8530,2;11570,4
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Creta";"GSr";"2016-2021";"1.6";"Бензиновый";3330;4440;3330;5180;3330;4440;5839;9384;5839;11521;5839;9384;11521;5839;9384;9169;13824;9169;16701;9169;13824;16701;9169;13824
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Creta";"GSr";"2016-2021";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;6099;6724;6099;8861;6099;6724;8861;6099;6724;9429;11164;9429;14041;9429;11164;14041;9429;11164
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Creta";"SU2r";"2021-";"1.6";"Бензиновый";3330;4440;3330;5180;3330;4440;6040;6665;6040;11225;6040;6665;11225;6040;6665;9370;11105;9370;16405;9370;11105;16405;9370;11105
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Creta";"SU2r";"2021-";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;6921;7546;6921;10030;6921;7546;10030;6921;7546;10251;11986;10251;15210;10251;11986;15210;10251;11986
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"ix35";"Ele";"2010-2015";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;5588;7961;5588;10279;5588;7961;10279;5588;7961;8918;12401;8918;15459;8918;12401;15459;8918;12401
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"ix35";"Ele";"2010-2015";"2.0";"Дизельный";3330;4440;3330;4440;3330;4440;8709;11237;8709;11237;8709;11237;11237;8709;11237;12039;15677;12039;15677;12039;15677;15677;12039;15677
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"TLe";"2015-2021";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;6682;7307;6682;12864;6682;7307;12864;6682;7307;10012;11747;10012;18044;10012;11747;18044;10012;11747
