"Код дилера";"Сервисный код дилера";;;"Код SAP площадки";"Контрагент";;;"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;;;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"HCR PE";"2020-";"1.4";"Бензиновый";4200;5700;4200;7200;4200;5700;6256;13836;6206;16320;6206;13836;7200;4200;5700;10456;19536;10406;23520;10406;19536;14400;8400;11400
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"HCR PE";"2020-";"1.6";"Бензиновый";4200;5700;4200;7200;4200;5700;6286;8810;6236;11294;6236;8810;10364;5710;7880;10486;14510;10436;18494;10436;14510;17564;9910;13580
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"HCR";"2017-2019";"1.4";"Бензиновый";4200;5700;4200;7200;4200;5700;6256;13836;6206;16320;6206;13836;11496;5546;9012;10456;19536;10406;23520;10406;19536;18696;9746;14712
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"HCR";"2017-2019";"1.6";"Бензиновый";4200;5700;4200;7200;4200;5700;6286;8860;6236;11294;6286;8860;10364;5710;7880;10486;14560;10436;18494;10486;14560;17564;9910;13580
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"RBR";"2011-2016";"1.4";"Бензиновый";4200;5700;4200;7200;4200;5700;6494;9068;6494;11012;6444;9018;8780;5518;7688;10694;14768;10694;18212;10644;14718;15980;9718;13388
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"Solaris";"RBR";"2011-2016";"1.6";"Бензиновый";4200;5700;4200;7200;4200;5700;6444;9068;6444;11062;6494;9068;8780;5518;7688;10644;14768;10644;18262;10694;14768;15980;9718;13388
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"i30";"Gde";"2012-2017";"1.4";"Бензиновый";4200;5700;4200;6900;4200;6000;7832;11008;7832;12903;7832;11008;10375;6724;9224;12032;16708;12032;19803;12032;17008;17275;10924;15224
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"i30";"Gde";"2012-2017";"1.6";"Бензиновый";4200;5700;4200;6900;4200;6000;7832;11008;7832;12903;7832;11008;10375;6724;9224;12032;16708;12032;19803;12032;17008;17275;10924;15224
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"i30";"PDe";"2017-";"1.4";"Бензиновый";4200;5700;4200;6900;4200;6000;7832;11008;7832;12903;7832;11008;10375;6724;9224;12032;16708;12032;19803;12032;17008;17275;10924;15224
"RC423";1095;;;"C40AF01095";"Эксперт-Авто Новосибирск";;;"i30";"PDe";"2017-";"1.6";"Бензиновый";4200;5700;4200;6900;4200;6000;7832;11008;7832;12903;7832;11008;10375;6724;9224;12032;16708;12032;19803;12032;17008;17275;10924;15224
